n,burbuja,quicksort,radix_sort,sorted
10,1.9133323803544044e-05,0.00023063342086970806,3.6300004770358406e-05,1.600012183189392e-06
50,0.000182066656028231,7.643333325783412e-05,0.00011573332206656535,3.7999901299675307e-06
100,0.0005377333145588636,0.00025760002123812836,0.0006714000289017955,0.0003741333105911811
200,0.003487300011329353,0.0005386000654349724,0.0007001333869993687,1.91999909778436e-05
300,0.006851033307611942,0.0006830333732068539,0.0007484666615103682,3.2999979642530285e-05
500,,0.0011791666814436514,0.00157796669130524,6.466665460417668e-05
700,,0.0014391000149771571,0.0014801666450997193,7.330001487086217e-05
1000,,0.002822133324419459,0.002319199964404106,0.00011676670207331578
